"","C1","C2","C3","C4","M2","M3","M4","M5"
"mt-Co1",17.9287216944286,17.8419195596162,17.9370892437705,18.2098507895729,20.9878724374675,21.7107578630603,19.926380404916,16.6852206395808
"mt-Cytb",16.3338416858207,16.1021208063326,16.2763660424268,16.5273302999593,19.3622892466208,20.0352336758565,18.3613346418914,15.0554525784514
"mt-Nd1",15.0800981610749,15.0117516249164,15.2734237304713,15.618619192198,18.612455082965,19.4397042752355,17.8682409939018,14.4796095789068
"mt-Nd5",15.1761416312577,15.1310439649233,15.3327844905721,15.5433057778091,18.3801617240571,19.3088188624162,17.102464446992,14.3275383934812
"mt-Nd4",15.1908552788293,14.939466114854,15.1998471427368,15.3410730263198,18.0635181432059,18.660650913521,16.7934785134025,13.8412189923769
"mt-Nd2",14.484714184682,14.3403721266089,14.6621735773574,14.8460620738969,17.5660537401456,18.4479020320286,16.6966784025645,13.5039963803948
"Lypd8",16.7424043783598,16.6248934832074,16.6450263513727,15.9263247480949,16.4336344345636,16.1906251620714,16.0556192469279,14.8949395888207
"Eef1a1",16.1601112801948,16.0979441973406,16.0399567233027,15.8134798419965,16.0254877678539,15.3245655217664,16.6672162612619,16.1695038112382
"Muc2",16.0280010565877,16.721019472751,15.4686846343185,17.9445529108165,14.0101440699754,14.6333780018909,12.4950976846118,14.0125804903577
"Dmbt1",15.3058469354546,15.2345165649712,14.677312811551,16.2687178487619,16.1290409845494,16.5713298944798,15.9632992248562,15.2784700921099
"Krt8",15.7182901713492,15.7933491354371,15.7801787132466,15.8888192682171,16.7017185339181,16.4350216617102,16.165321296122,14.5437471559644
"Fcgbp",16.5642853874804,17.5219620873793,15.6680861132637,16.3024929055604,13.0647657601997,13.2383610555551,12.0339332678474,13.3908840458655
"Pigr",16.1986024533299,16.328546172187,15.8785211360178,15.9973503946685,15.0723138832388,15.7756543051928,14.0105314972773,13.6038757689917
"mt-Rnr2",13.2839064111219,12.8984024546666,13.7585408613366,13.4991057837653,15.5715636599097,16.4083692343501,15.2801513419793,11.7997169945366
"Actb",14.4531309143335,14.7277928084811,14.620461018202,14.8556123564573,15.9409791720471,16.4005566945914,15.9017082515792,15.1960513533739
"Lgals4",15.1977883605296,15.174928389799,15.3826915992851,14.9884821306217,16.5072751499637,16.3746173643538,15.614513075587,14.0377977288596
"Eef2",15.5116389595126,15.4611093420325,15.363714029184,15.1403846780929,14.9522930787125,13.7402778182884,15.467269370563,15.2030600784689
"Aldoa",13.7210352812778,13.6131341077004,13.7179342777075,13.6282653110288,15.0517090633662,15.1442682738329,14.5025690073442,13.3015887401209
"mt-Nd6",12.4724191076165,12.3149407449805,12.778083028872,13.0703530202462,15.7827493622966,17.223130469276,14.6037821410933,12.043150736158
"Krt19",14.8655196577927,15.0758148376932,15.0343823731474,15.178668711538,16.3423168625539,16.0670921362086,15.572591587305,14.124382460423
"Neat1",13.9801444458689,13.9660630270017,14.028237569608,13.6391735915377,15.882865672771,16.8091531074661,13.0476213228503,13.829451782304
