"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",151,0.748804912671314,3.03002663362947,1e-10,7.14285714285714e-10,3.30827067669173e-10,2408,"tags=60%, list=14%, signal=52%","Il6/Il1b/Ccl7/Il11/Cxcl13/Nos2/Timp1/Cxcl9/Stat4/Tnf/H2-Ob/Ccl5/Cd79a/H2-DMb2/Ltb/Gzmb/Srgn/Ccr5/Socs1/Hcls1/Capg/Lcp2/Il18rap/Fgr/H2-Oa/Cd80/Spi1/Ccr2/Ncf4/Lif/Nme1/Inhba/Il12rb1/Fcgr2b/Was/Ly86/Map4k1/Cd86/Cd40/Il2ra/Gzma/Inhbb/Icam1/Ptprc/Il12a/Il2rg/Bcl3/Il27ra/Il16/Cd2/Cd247/Gpr65/Rpl39-ps/Npm1/Itgal/Cd3d/H2-DMa/Il4ra/Il2rb/Cfp/Pf4/Hif1a/Lyn/Tap1/Ets1/H2-Aa/Cd3g/Klrd1/Cartpt/Tgfb1/Cd47/Ifnar2/Lck/Prkcb/Eif5a/Il18/Stat1/Ripk2/Psmb10/Rps3a1/Cd8a/Abce1/Itk/Ptpn6/Zap70/Cd3e/Brca1/Icosl/C2/Ube2n"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",162,0.667771728244487,2.73233876352494,1e-10,7.14285714285714e-10,3.30827067669173e-10,2064,"tags=43%, list=12%, signal=38%","Fpr1/Il6/Marco/Csf3/Prok2/Il1b/Osm/Olr1/Cxcl5/Ccl7/Il1a/Timp1/Sell/Bdkrb1/Cxcl9/Tnfrsf9/Plaur/Ifitm1/Clec5a/Msr1/Ccl5/Cd69/Lta/Ccr7/Tnfsf9/Lcp2/Il18rap/Gpr132/Cxcl10/Itgb8/Lif/Adora2b/Sphk1/Il10ra/Inhba/Slc28a2/Cd40/Cybb/Adm/Icam1/Tnfrsf1b/Cd14/Hbegf/Rasgrp1/Nod2/Cxcl11/Cd48/Pde4b/Osmr/Gpr183/Il4ra/Il2rb/Rgs16/Nfkbia/Ebi3/Hif1a/Lyn/C3ar1/Has2/Mmp14/Gch1/Lck/Vip/Pik3r5/Kcnj2/Pdpn/Il18/Ripk2/Bst2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",74,0.733879021567182,2.65105279835372,1e-10,7.14285714285714e-10,3.30827067669173e-10,2397,"tags=54%, list=14%, signal=47%","Cxcl2/Il6/Il1b/Ccl7/Il1r2/Pla2g2a/A2m/Cxcl13/Socs3/Cxcl9/Tnf/Ltb/Hmox1/Socs1/Cxcl10/Il12rb1/Il2ra/Il2rg/Tnfrsf1b/Cd14/Tnfrsf12a/Cxcl11/Pim1/Il3ra/Osmr/Il4ra/Map3k8/Cd38/Crlf2/Ebi3/Pf4/Ptpn1/Il9r/Tgfb1/Pik3r5/Myd88/Stat1/Il17ra/Il10rb/Ptpn2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",177,0.641063255743485,2.63392652253885,1e-10,7.14285714285714e-10,3.30827067669173e-10,3085,"tags=47%, list=18%, signal=39%","Cxcl2/Il6/Il1b/Olr1/Cxcl5/Il1a/Cxcl1/Dusp2/Socs3/Tnfrsf9/Plaur/Plek/Tnf/Ccl5/Cd69/Bcl2a1d/Ier3/Tnfsf9/Phlda2/Cd80/Cxcl10/Lif/Cebpb/Fosl1/G0s2/Sphk1/Inhba/Clcf1/Areg/Pfkfb3/Icam1/Nfkbie/Bcl3/Gadd45b/Slc2a6/Rel/Hbegf/Dram1/Phlda1/Cxcl11/Pde4b/Zc3h12a/Ifit2/Gpr183/Map3k8/Dusp1/Nfkbia/Yrdc/Slc16a6/Sat1/Kynu/Egr2/Tap1/Junb/Slc2a3/Egr1/Cebpd/Zfp36/Nfil3/Gadd45a/Ppp1r15a/Egr3/Klf10/Gch1/Ccnl1/Il18/Ripk2/Ehd1/Snn/Icosl/Ier2/Birc2/Pmepa1/Tnfaip8/Plau/Il15ra/Myc/Cd44/Dusp5/Gem/Fos/Abca1/Klf2/Nfkb2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",190,0.630205539903542,2.62521387343579,1e-10,7.14285714285714e-10,3.30827067669173e-10,4431,"tags=66%, list=26%, signal=49%","Nme1/Snrpd1/Nop56/Erh/Gm10146/Lsm2/Snrpg/Hspe1/Dut/Snrpd2/Nhp2/Npm1/Hddc2/Ssb/Ranbp1/Mad2l1/Snrpa1/Gnl3/Ccna2/Snrpd3/Gm9531/Ssbp1/Rps2/Rrp9/Srm/Rrm1/Pa2g4/Psmb3/Pgk1/Ppia/C1qbp/Rpl14/Ran/Rsl1d1/Hdgf/Psma4/Rpl22/Nap1l1/Nop16/Rps10/Psma2/Ppm1g/Ifrd1/Hspd1/Ilf2/Abce1/Srsf7/Nolc1/Snrpb2/Prpf31/Tfdp1/Rfc4/Cdc20/Psma7/Hnrnpa2b1/Rpl18/Pole3/Eif4e/Psmc4/Rps5/Hnrnpd/Orc2/Mcm4/Cdc45/Myc/Srsf3/Pcna/Mrpl23/Xpo1/Eif3d/Tra2b/Psmb2/Eif4a1/Phb2/Rps6/Snrpa/Ncbp1/Eef1b2/Mcm2/Hdac2/Cops5/Mcm7/Cdk2/Ndufab1/Odc1/Fbl/Ywhae/Kpnb1/Gm4705/Bub3/Rpl6/Serbp1/Cct3/Cdk4/Eif3j1/Tyms/Exosc7/Ldha/Eif2s1/Glo1/Psmc6/Psma6/Cnbp/Psmd14/Mrpl9/Cct2/G3bp1/Rplp0/Ruvbl2/Pabpc4/Psmd1/Etf1/Cct7/Psma1/Srsf1/Ddx21/Syncrip/Acp1/Tomm70a/Mcm5/Uba2/Tardbp/Hnrnpc/Eif3b/Usp1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",194,0.621732444916081,2.60641515661049,1e-10,7.14285714285714e-10,3.30827067669173e-10,4431,"tags=63%, list=26%, signal=47%","Nme1/Cks1b/Ccne1/Rrm2/Birc5/Tacc3/Cenpm/Trip13/Cdkn3/Nop56/Gins1/Ube2s/Mthfd2/Tfrc/Lyar/Tipin/Dut/Asf1b/Cdk1/Prps1/Cdca3/Ranbp1/Mad2l1/Cdca8/Ccnb2/Nasp/Orc6/Spc24/Exosc8/Spc25/Suv39h1/Mcm3/Mybl2/Pa2g4/Ak2/Kif22/Depdc1a/Ran/Cks2/Phf5a/Rpa2/Hells/Nap1l1/Aurka/Dctpp1/Asf1a/Jpt1/Lsm8/Gins3/Psmc3ip/Hmgb2/Nolc1/Tubb5/Rpa3/Racgap1/Diaph3/Melk/Tk1/Kif2c/Donson/Brca1/Mxd3/Prim2/Pole4/Spag5/Lmnb1/Chek1/Mki67/Tcf19/Cdc20/Top2a/Kif4/Hnrnpd/Orc2/Mcm4/Aurkb/Myc/Pcna/Xpo1/Pold3/Dlgap5/Atad2/Tra2b/Lig1/E2f8/Pop7/Cenpe/Mcm2/Rad51ap1/Mcm7/Rfc3/Mms22l/Hmgb3/Smc4/Anp32e/Cdk4/Eif2s1/Dck/Ppp1r8/Cdc25a/Stmn1/Dscc1/Cdc25b/Plk4/Tmpo/Bard1/Rnaseh2a/Rad51c/Nudt21/Nup107/Rfc2/Pnn/Srsf1/Syncrip/Gins4/Tubg1/Mcm5/Timeless/Espl1/Cse1l/Tbrg4/Pola2/Usp1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",176,0.612958884724859,2.52182167151513,1e-10,7.14285714285714e-10,3.30827067669173e-10,3144,"tags=48%, list=19%, signal=40%","Fpr1/Il6/Ccl7/Socs3/Cxcl9/Stat4/Bank1/Ido1/Gpr18/Ccl5/Cd69/Socs1/Fcgr1/Lcp2/Cxcl10/Vcam1/Il10ra/Cd86/Cd40/Gzma/Nlrc5/Icam1/Cfh/Isg15/Ifitm3/Zbp1/Psmb8/Mthfd2/Cxcl11/Pim1/Pde4b/Psme2/H2-DMa/Ifit2/Psmb9/Slc25a28/Il4ra/Irf5/Il2rb/Il18bp/Sp110/Cd38/Nfkbia/Hif1a/Casp8/Tap1/H2-Aa/Oas2/Ptpn1/Ciita/Itgb7/Psma2/Gch1/Ifnar2/Psme1/Upp1/Myd88/Nup93/Stat1/Ripk2/Usp18/Bst2/Psmb10/Ptpn6/Cd274/Gbp3/Ifitm2/Eif4e3/Ptpn2/Pnpt1/Ube2l6/Psma3/Cd74/Il15ra/Epsti1/Batf2/Bpgm/Irf8/Psmb2/Pnp/Mvp/St8sia4/Vamp5/Mx2/Ifi35"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",188,0.525534941526091,2.18755974042301,4.02917581172719e-10,2.51823488232949e-09,1.16634036655261e-09,5012,"tags=58%, list=30%, signal=41%","Cks1b/Snrpd1/Ube2c/Cdc7/Bcl3/Birc5/Tacc3/Cdkn3/Ube2s/Cdk1/Traip/Dbf4/Mad2l1/Ndc80/E2f2/Ccna2/Bub1/Ccnb2/Nasp/Orc6/Hif1a/Rad54l/Suv39h1/Mcm3/Mybl2/Polq/Kif22/Cks2/Tpx2/Rpa2/Pbk/Slc7a5/Tgfb1/Incenp/Aurka/Ncl/Troap/Nek2/Dtymk/Jpt1/Kif23/Fbxo5/Cdc6/Nolc1/Racgap1/Kif2c/Smc2/Hira/Prim2/Gins2/Tfdp1/Lmnb1/Kif15/Chek1/Kif20b/Mki67/Cdc20/Cenpa/Top2a/Kif4/Sap30/Hnrnpd/Aurkb/Cdc45/Ccnf/Myc/Xpo1/Exo1/Tra2b/Cenpe/Mcm2/Odc1/Hmgb3/Smc4/Kpnb1/Bub3/E2f1/Cdk4/Srsf10/Nusap1/Cdc25a/Stmn1/G3bp1/Cdc25b/Plk4/Hspa8/Tmpo/Bard1/Ewsr1/Chaf1a/Srsf1/Syncrip/Uck2/Mcm5/Espl1/Ttk/Pola2/Amd1/Dkc1/Top1/Hmmr/Mcm6/E2f4/Cbx1/Marcks/Katna1/Dr1/Stil/Kif11"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",156,0.52137027351473,2.12994508141335,2.23815235572015e-08,1.24341797540008e-07,5.75898851764249e-08,2353,"tags=28%, list=14%, signal=25%","S100a9/Il6/Olr1/Ltf/F10/Timp1/Mmp13/Itgam/Plaur/Plek/Ccl5/Gzmb/Cr2/Mmp12/Fcer1g/Lcp2/C3/Cp/Cebpb/Was/F7/Plat/Pla2g7/Gzma/Cfh/Gata3/F5/Rasgrp1/Pim1/Psmb9/Kynu/Lgmn/Lyn/C1qa/Ctsc/Gngt2/Mmp14/Lck/Pik3r5/Notch4/Pfn1/Ehd1/S100a13/C2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",188,0.485091881364923,2.01921392133976,6.20392734020477e-08,3.10196367010239e-07,1.43669896299479e-07,3819,"tags=48%, list=23%, signal=37%","Slc7a11/Coro1a/Cxcr4/Sla/Psat1/Igfbp5/Rrm2/Mthfd2/Tfrc/Hspe1/Ak4/Shmt2/Tomm40/Cacybp/Nupr1/Cfp/Bub1/Rrp9/Lgmn/Slc2a3/Pgk1/Ppia/Psph/Nfil3/Ppp1r15a/Gsr/Eef1e1/Psma4/Ctsc/Slc7a5/Psmb5/Asns/Aurka/Uchl5/Dhfr/Tuba4a/Pno1/Nufip1/Ifrd1/Hspd1/Prdx1/Cct6a/Fkbp2/Mthfd2l/Hsp90b1/Stip1/Psma3/Psmc4/Hmbs/Mcm4/Skap2/Ccnf/Aldoa/Pnp/Ddit3/Psmd12/Mcm2/Cops5/Ssr1/Calr/Abcf2/Psmd13/Pdap1/G6pdx/Txnrd1/Psme3/Serp1/Ifi30/Psmg1/Ldha/Psmc2/Psmc6/Slc2a1/Gtf2h1/Cdc25a/Tpi1/Psmd14/Actr3/Phgdh/Hspa9/Ddit4/Sdf2l1/Nfkbib/Actr2/Hspa5/Gpi1/Got1/Rpn1/Arpc5l/Etf1"
